dataset_id,proportion_of_village,cluster_type,n,ratio
2,0.55,random,7,0.875
2,0.56,hierarchical clustering,8,1
2,0.56,k-means,8,1
2,0.56,random,8,1
2,0.5700000000000001,hierarchical clustering,8,1
2,0.5700000000000001,k-means,8,1
2,0.5700000000000001,random,8,1
2,0.5800000000000001,hierarchical clustering,8,1
2,0.5800000000000001,k-means,8,1
2,0.5800000000000001,random,8,1
2,0.5900000000000001,hierarchical clustering,8,1
2,0.5900000000000001,k-means,8,1
2,0.5900000000000001,random,8,1
2,0.6000000000000001,hierarchical clustering,8,1
2,0.6000000000000001,k-means,8,1
2,0.6000000000000001,random,8,1
2,0.6100000000000001,hierarchical clustering,8,1
2,0.6100000000000001,k-means,8,1
2,0.6100000000000001,random,8,1
2,0.6200000000000001,hierarchical clustering,8,1
2,0.6200000000000001,k-means,8,1
2,0.6200000000000001,random,8,1
2,0.63,hierarchical clustering,8,1
2,0.63,k-means,8,1
2,0.63,random,8,1
2,0.64,hierarchical clustering,8,1
2,0.64,k-means,8,1
2,0.64,random,8,1
2,0.65,hierarchical clustering,8,1
2,0.65,k-means,8,1
2,0.65,random,8,1
2,0.66,hierarchical clustering,8,1
2,0.66,k-means,8,1
2,0.66,random,8,1
2,0.67,hierarchical clustering,8,1
2,0.67,k-means,8,1
2,0.67,random,8,1
2,0.68,hierarchical clustering,8,1
2,0.68,k-means,8,1
2,0.68,random,7,0.875
2,0.6900000000000001,hierarchical clustering,8,1
2,0.6900000000000001,k-means,8,1
2,0.6900000000000001,random,8,1
2,0.7000000000000001,hierarchical clustering,8,1
2,0.7000000000000001,k-means,8,1
2,0.7000000000000001,random,8,1
2,0.7100000000000001,hierarchical clustering,8,1
2,0.7100000000000001,k-means,8,1
2,0.7100000000000001,random,8,1
2,0.7200000000000001,hierarchical clustering,8,1
2,0.7200000000000001,k-means,8,1
2,0.7200000000000001,random,8,1
2,0.7300000000000001,hierarchical clustering,8,1
2,0.7300000000000001,k-means,8,1
2,0.7300000000000001,random,8,1
2,0.7400000000000001,hierarchical clustering,8,1
2,0.7400000000000001,k-means,8,1
2,0.7400000000000001,random,8,1
2,0.7500000000000001,hierarchical clustering,8,1
2,0.7500000000000001,k-means,8,1
2,0.7500000000000001,random,8,1
2,0.76,hierarchical clustering,8,1
2,0.76,k-means,8,1
2,0.76,random,8,1
2,0.77,hierarchical clustering,8,1
2,0.77,k-means,8,1
2,0.77,random,8,1
2,0.78,hierarchical clustering,8,1
2,0.78,k-means,8,1
2,0.78,random,8,1
2,0.79,hierarchical clustering,8,1
2,0.79,k-means,8,1
2,0.79,random,8,1
2,0.8,hierarchical clustering,8,1
2,0.8,k-means,8,1
2,0.8,random,8,1
2,0.81,hierarchical clustering,8,1
2,0.81,k-means,8,1
2,0.81,random,8,1
2,0.8200000000000001,hierarchical clustering,8,1
2,0.8200000000000001,k-means,8,1
